name,region,CO2,GDP_per_capita,airports,alcohol,area,birth_rate,broadband,budget_surplus_or_deficit,child_mortality_ratio,death_rate,debt,education,electricity,energy_per_capita,exports,imports,inflation,internet_users,labor_force,life_expectancy,maternal_mortality_ratio,median_age,military_expenditures,net_migration_rate,obesity,population,population_growth_rate,railways,roadways,total_fertility,unemployment
China,East and Southeast Asia,10773248000.00,16300.00,507,4.48,9596960.00,9.69,483549500.00,-3.8,6.49,7.82,47,3.6,2217925000.00,105687000.00,2739000000000.00,2380000000000.00,0.98,1022000000.00,791383000.00,78.23,23,38.4,1.8,-0.11,6.2,1413142846.00,0.18,150000.00,5200000.00,1.45,4.82
United States,North America,5144361000.00,63700.00,"13,513",8.93,9833517.00,12.21,121176000.00,-3.4,5.12,8.42,126.39,6.1,1143266000.00,304414000.00,2557000000000.00,3402000000000.00,4.7,312800000.00,164797000.00,80.75,21,38.5,3.5,3.01,36.2,339665118.00,0.68,293564.20,6586610.00,1.84,5.46
India,South Asia,2314738000.00,6600.00,346,3.09,3287263.00,16.53,22950000.00,-3.5,30.36,9.65,46.52,4.5,432768000.00,23231000.00,643080000000.00,717119000000.00,5.13,644000000.00,476670000.00,67.69,103,28.7,2.5,0.12,3.9,1399179585.00,0.7,65554.00,6371847.00,2.07,5.98
Russia,Central Asia,1848070000.00,28000.00,"1,218",7.29,17098242.00,9.22,33893305.00,-1.4,6.33,13.27,23.05,3.7,276463000.00,227898000.00,550035000000.00,379947000000.00,6.69,132000000.00,72444000.00,72.72,14,40.3,5.4,1.7,23.1,141698923.00,-0.24,85494.00,1283387.00,1.6,5.01
Japan,East and Southeast Asia,1103234000.00,40800.00,175,8.36,377915.00,6.9,44000791.00,-3.5,1.88,11.74,216.28,3.4,348666000.00,147107000.00,919158000000.00,941671000000.00,-0.23,99600000.00,68629000.00,85,4,48.6,0.94,0.74,4.3,123719238.00,-0.41,27311.00,1218772.00,1.39,2.8
Germany,Europe,726881000.00,53200.00,539,10.56,357022.00,9.02,36215303.00,1.3,3.14,11.97,63.9,4.7,248265000.00,161174000.00,2004000000000.00,1775000000000.00,3.14,75530000.00,43968000.00,81.72,4,47.8,1.2,1.78,22.3,84220184.00,-0.12,39379.00,830000.00,1.58,3.54
"Korea, South",East and Southeast Asia,686954000.00,44200.00,111,7.74,99720.00,6.95,22327182.00,1.4,2.83,7.28,46.43,4.7,135789000.00,242346000.00,771202000000.00,698103000000.00,2.5,50960000.00,28674000.00,83.17,8,43.2,2.5,2.61,4.7,51966948.00,0.23,3979.00,100428.00,1.11,3.53
Iran,Middle East,646038000.00,15000.00,319,0.02,1648195.00,14.79,9564195.00,-2.3,14.58,5.2,39.5,3.6,80553000.00,145540000.00,101400000000.00,76390000000.00,43.39,69520000.00,27682000.00,75.44,22,31.7,4.3,-0.3,25.8,87590873.00,0.93,8483.50,223485.00,1.92,11.46
Canada,North America,612084000.00,47900.00,"1,467",8,9984670.00,10.11,15825813.00,-1,4.31,8.17,72.09,5.2,153251000.00,403700000.00,611146000000.00,609256000000.00,3.4,35340000.00,21017000.00,83.99,11,41.8,1.16,5.37,29.4,38516736.00,0.73,49422.00,1042300.00,1.57,7.51
Saudi Arabia,Middle East,579925000.00,44300.00,214,0,2149690.00,13.9,7890261.00,-8.9,11.97,3.45,17.2,7.8,76785000.00,296949000.00,286502000000.00,213016000000.00,3.06,36000000.00,16060000.00,76.91,16,30.8,10.8,6.07,35.4,35939806.00,1.65,5410.00,221372.00,1.89,7.36
Indonesia,East and Southeast Asia,563543000.00,11900.00,673,0.08,1904569.00,15.05,11722218.00,-2.7,19.31,6.77,42.92,3.5,69065000.00,29680000.00,246870000000.00,217715000000.00,1.56,167400000.00,138119000.00,73.33,173,31.1,0.9,-0.71,6.9,279476346.00,0.76,8159.00,496607.00,1.99,4.41
South Africa,Africa,470358000.00,13300.00,407,7.21,1219090.00,18.24,1303057.00,-4.4,24.99,9.25,53,6.6,62728000.00,98474000.00,130885000000.00,104806000000.00,4.61,42480000.00,22398000.00,65.6,127,28,1.1,0.11,28.3,58048332.00,0.91,20986.00,750000.00,2.17,33.56
Mexico,North America,463739000.00,19100.00,"1,714",4.25,1964375.00,13.95,21936131.00,-1.1,12,7.07,54.3,4.3,93430000.00,61597000.00,522235000000.00,544752000000.00,5.69,98800000.00,56132000.00,73.46,59,29.3,0.6,-0.77,28.9,129875529.00,0.61,23389.00,704884.00,1.73,4.38
Brazil,South America,456670000.00,14600.00,"4,093",6.12,8515770.00,13.44,36344670.00,-1.1,13.11,6.9,100.59,6,195037000.00,59444000.00,317175000000.00,297924000000.00,8.3,170100000.00,99470000.00,76.1,72,33.2,1.3,-0.19,22.1,218689757.00,0.64,29849.90,2000000.00,1.75,14.4
Australia,Australia and Oceania,417870000.00,49800.00,418,9.51,7741220.00,12.23,9099619.00,-0.5,2.96,6.76,69.41,6.1,82517000.00,241004000.00,389794000000.00,298712000000.00,2.86,24960000.00,13786000.00,83.28,3,37.5,2.1,6.39,29,26461166.00,1.19,36064.00,873573.00,1.73,5.11
United Kingdom,Europe,398084000.00,45000.00,460,9.8,243610.00,10.8,27330297.00,-1.9,3.79,9.12,195.39,5.5,113153000.00,119894000.00,874500000000.00,898719000000.00,2.52,64990000.00,34637000.00,82.05,10,40.6,2.08,3.23,27.8,68138484.00,0.49,16390.00,394428.00,1.63,4.53
Turkey (Turkiye),Middle East,391792000.00,31500.00,98,1.18,783562.00,14.04,16734853.00,-1.5,18.85,6.09,41.97,3.4,96846000.00,79126000.00,282851000000.00,285578000000.00,19.6,68850000.00,32554000.00,76.47,17,32.2,1.45,-1.53,32.1,83593483.00,0.64,11497.00,67333.00,1.91,13.39
France,Europe,338425000.00,45000.00,464,11.44,643801.00,11.56,30627000.00,-2.6,3.1,9.51,123.01,5.5,138611000.00,151053000.00,920864000000.00,957717000000.00,1.64,55900000.00,31132000.00,82.79,8,41.7,1.79,1.06,21.6,68521974.00,0.31,27860.00,1053215.00,2.02,8.06
Italy,Europe,332041000.00,41900.00,129,7.65,301340.00,7,18128787.00,-2.3,3.11,11.27,131.8,4.3,121442000.00,112606000.00,687948000000.00,637934000000.00,1.87,44250000.00,25012000.00,82.79,5,46.5,1.2,3.2,19.9,61021855.00,-0.11,18475.00,487700.00,1.24,9.83
Thailand,East and Southeast Asia,305273000.00,17100.00,101,6.86,513120.00,10.04,11478265.00,-3.5,6.36,7.86,50.4,3.2,53130000.00,76714000.00,296002000000.00,295780000000.00,1.23,61200000.00,40213000.00,77.91,29,39,1.4,-0.22,10,69794997.00,0.2,4127.00,180053.00,1.54,1.42
Poland,Europe,304040000.00,34900.00,126,10.96,312685.00,8.31,8369218.00,-1.7,4.1,10.75,50.6,5.2,47269000.00,112831000.00,411621000000.00,380699000000.00,5.06,32300000.00,18212000.00,79,2,41.9,1.9,-0.34,23.1,37991766.00,-0.28,19461.00,420000.00,1.41,3.37
Spain,Europe,280624000.00,37900.00,135,10.72,505370.00,7.12,16188502.00,-3.1,2.43,10.11,141.22,4.6,115837000.00,122673000.00,497868000000.00,476678000000.00,3.09,44180000.00,23382000.00,82.78,3,43.9,0.9,4.23,23.8,47222613.00,0.12,15489.00,683175.00,1.29,14.73
Taiwan,East and Southeast Asia,279206000.00,45400.00,37,,35980.00,7.33,5831470.00,-0.1,3.9,7.98,35.7,,57738000.00,160669000.00,388490000000.00,308744000000.00,0.5,21600000.00,11498000.00,81.38,,42.3,1.8,0.96,,23588613.00,0.03,1613.10,43206.00,1.09,3.73
United Arab Emirates,Middle East,276236000.00,69700.00,43,2.03,83600.00,10.76,3245123.00,-0.2,5.06,1.62,19.7,3.9,35173000.00,471788000.00,308500000000.00,229200000000.00,-2.08,9400000.00,6074000.00,79.75,9,38.4,6,-3.35,31.7,9973449.00,0.58,,4080.00,1.62,3.36
Kazakhstan,Central Asia,263689000.00,26100.00,96,3.73,2724900.00,14.92,2620400.00,-1.8,18.77,8.05,26.63,4.5,25022000.00,180726000.00,66132000000.00,49196000000.00,6.75,17290000.00,9248000.00,72.8,13,31.6,0.9,0.39,21,19543464.00,0.73,16636.00,96167.00,2.08,4.9
Malaysia,East and Southeast Asia,254764000.00,26300.00,114,0.64,329847.00,14.39,3358800.00,-3,6.49,5.72,62.03,3.9,34959000.00,123755000.00,256659000000.00,230188000000.00,2.48,32980000.00,16740000.00,76.38,21,29.2,1.4,1.46,15.6,34219975.00,1.01,1851.00,144403.00,1.74,4.61
Vietnam,East and Southeast Asia,249929000.00,10600.00,45,3.41,331210.00,15.29,16699249.00,-6.7,14.42,5.77,58.5,4.1,65283000.00,36392000.00,339984000000.00,338021000000.00,1.83,71780000.00,56203000.00,75.79,124,31.9,2.5,-0.21,2.1,104799174.00,0.93,2600.00,195468.00,2.04,2.17
Singapore,East and Southeast Asia,238983000.00,106000.00,9,1.81,719.00,8.94,1509700.00,-0.3,1.54,4.15,153.41,2.8,12240000.00,639951000.00,733782000000.00,609280000000.00,2.3,5369000.00,3290000.00,86.51,7,35.6,3.2,4.18,6.1,5975383.00,0.9,,3500.00,1.17,3.62
Egypt,Africa,235137000.00,11600.00,83,0.14,1001450.00,20.48,9349469.00,-8.6,17.27,4.32,103,2.5,59826000.00,40063000.00,58339000000.00,94039000000.00,5.21,79200000.00,30179000.00,74.72,17,24.1,1.6,-0.29,32,109546720.00,1.59,5085.00,65050.00,2.76,9.33
Netherlands,Europe,214416000.00,56600.00,29,8.23,41543.00,10.98,7525016.00,1.1,3.34,9.27,56.5,5.3,43409000.00,219606000.00,839600000000.00,735700000000.00,2.68,16560000.00,9902000.00,82.36,4,42.8,1.2,1.89,20.4,17463930.00,0.36,3055.00,139124.00,1.77,4.01
Pakistan,South Asia,193869000.00,5200.00,151,0.04,796095.00,26.01,2523027.00,-5.8,52.73,5.94,67,2.4,39925000.00,15859000.00,35566000000.00,76392000000.00,9.5,48300000.00,73133000.00,69.96,154,22,3.6,-1.01,8.6,247653551.00,1.91,11881.00,264175.00,3.39,4.35
Argentina,South America,193205000.00,21500.00,916,7.95,2780400.00,15.38,9571562.00,-6,9.14,7.28,57.6,5,44731000.00,79083000.00,87415000000.00,72362000000.00,25.7,39150000.00,21206000.00,78.55,45,32.4,0.8,-0.08,28.3,46621847.00,0.8,17866.00,281290.00,2.17,10.9
Ukraine,Europe,185686000.00,12900.00,215,5.69,603550.00,8.79,7769401.00,-1.5,7.21,13.7,58.72,5.4,56816000.00,82571000.00,81504000000.00,84175000000.00,9.36,3239000.00,20463000.00,73.72,17,41.2,3.1,-0.27,24.1,43306477.00,-0.52,21733.00,169694.00,1.57,8.88
Algeria,Africa,151633000.00,11000.00,149,0.59,2381740.00,17.84,3790459.00,-9.6,19.22,4.33,27.5,7,21694000.00,61433000.00,41776000000.00,44322000000.00,7.23,31240000.00,12312000.00,78.27,78,28.9,6.4,-0.81,27.4,44758398.00,1.27,4020.00,104000.00,2.47,12.7
Iraq,Middle East,143479000.00,9000.00,102,0.16,438317.00,24.22,6254099.00,-4.2,19.17,3.88,27.44,4.7,28369000.00,63174000.00,78261000000.00,50707000000.00,6.04,21560000.00,11184000.00,73.45,76,21.2,5.6,-0.98,30.4,41266109.00,1.94,2272.00,59623.00,3.17,14.19
Philippines,East and Southeast Asia,142282000.00,8100.00,247,4.85,300000.00,22.17,7936574.00,-2.2,22.14,6.32,39.9,3.7,27885000.00,19261000.00,87790000000.00,126508000000.00,3.93,58300000.00,44242000.00,70.48,78,24.1,1.4,-0.04,6.4,116434200.00,1.58,77.00,216387.00,2.77,2.41
Belgium,Europe,128247000.00,51700.00,41,9.15,30528.00,10.86,4734210.00,-1,3.15,9.57,119.43,6.7,26929000.00,234216000.00,515625000000.00,509018000000.00,2.44,10920000.00,5240000.00,82.06,5,41.6,0.9,4.18,22.1,11913633.00,0.55,3602.00,118414.00,1.77,6.42
Qatar,Middle East,111922000.00,92900.00,6,0.96,11586.00,9.27,296126.00,-5.8,6.46,1.42,53.8,3.2,10633000.00,723582000.00,105549000000.00,61204000000.00,2.3,2700000.00,1977000.00,80.03,8,33.7,3.4,0.78,35.1,2532104.00,0.86,,7039.00,1.9,0.26
Turkmenistan,Central Asia,109037000.00,15000.00,26,2.88,488100.00,17.16,10000.00,-2.8,36.72,5.96,28.8,3.1,5205000.00,330507000.00,7458000000.00,4571000000.00,8,1563023.00,1998000.00,72.11,5,29.2,1.8,-1.69,18.6,5690818.00,0.95,5113.00,58592.00,2.03,5.08
Nigeria,Africa,104494000.00,4900.00,54,4.49,923768.00,34,65313.00,-1.8,55.17,8.52,21.8,0.5,11691000.00,8466000.00,44468000000.00,66107000000.00,16.95,115500000.00,65116000.00,61.79,"1,047",18.6,0.4,-0.21,8.9,230842743.00,2.53,3798.00,195000.00,4.57,9.79
Venezuela,South America,103708000.00,12500.00,444,2.51,912050.00,16.99,2561556.00,-46.1,14.1,6.55,38.9,1.3,32956000.00,85829000.00,83401000000.00,18432000000.00,"146,101.70",22734162.00,10245000.00,74.25,259,30,1.8,13.55,25.6,30518260.00,2.4,447.00,96189.00,2.2,6.41
Uzbekistan,Central Asia,102965000.00,7700.00,53,2.45,447400.00,15.18,4820009.00,0.3,18.55,5.43,24.3,4.9,16042000.00,57709000.00,16399000000.00,27774000000.00,10.85,26180000.00,14094000.00,75.55,30,30.1,2.9,-1.7,16.6,31360836.00,0.81,4642.00,86496.00,1.72,7.16
Czechia,Europe,99533000.00,40700.00,128,12.73,78867.00,8.43,3845426.00,1.6,2.37,10.77,34.7,5.1,22485000.00,161972000.00,204785000000.00,196243000000.00,3.84,9130000.00,5266000.00,79.96,3,43.3,0.96,2.32,26,10706242.00,0,9548.00,55744.00,1.5,2.89
Bangladesh,South Asia,96180000.00,5900.00,18,0,148460.00,17.5,10052819.00,-3.2,29.58,5.5,33.1,2.1,18461000.00,9917000.00,49386000000.00,85303000000.00,5.55,66300000.00,70961000.00,74.96,123,27.9,1.3,-2.88,3.6,167184465.00,0.91,2460.00,369105.00,2.08,5.23
Kuwait,Middle East,92582000.00,43900.00,7,0,17818.00,17.65,73948.00,-10,7.27,2.27,20.6,6.6,19371000.00,381985000.00,77121000000.00,48954000000.00,3.42,4300000.00,2363000.00,79.35,7,29.7,5,-4.07,37.9,3103580.00,1.13,,5749.00,2.22,3.71
Hong Kong,East and Southeast Asia,92493000.00,55900.00,2,,1108.00,7.85,2885586.00,5.2,2.52,8.03,0.1,4,14168000.00,172009000.00,608159000000.00,601528000000.00,1.57,6975000.00,3842000.00,83.8,,45.6,,1.65,,7288167.00,0.15,,2193.00,1.23,5.32
Chile,South America,88333000.00,25400.00,481,7.8,756102.00,12.57,3763826.00,-2.8,6.41,6.58,23.6,5.6,29808000.00,81953000.00,100634000000.00,102086000000.00,4.52,17100000.00,8684000.00,80.02,15,35.5,2,0.32,28,18549457.00,0.63,7281.50,77801.00,1.75,9.13
